,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
"5-(5,6-dimethylhept-3-en-2-yl)-6,10-dimethyl-16-(5-methyl-1,2-oxazol-3-yl)-17-oxa-16-azapentacyclo[13.2.2.0?,?.0?,?.0??,??]nonadec-18-en-13-ol",21822,423404,189699,0,146097,1773028,0,1966918,76838,3232494,303741,504414,52449,2188353,78455,578153,536822,477647
2'-Apo-beta-carotenal,0,347807,556980,38147,400485,125481,63981,15816,44469,149589,114097,112072,20345,0,0,168957,168102,138717
DG(14:1n5/0:0/14:1n5),16268,198442,156068,19553,53324,154107,36412,57501,95517,155484,83997,238073,130153,131571,46177,124265,101191,123804
bis(hydroxymethyl)nitramine.12,4852244,3834460,4437334,4977196,4454251,5021755,5277836,5054794,5175606,5783781,5837256,5654478,5522812,6199716,6114051,5161866,5245294,5656498
UNPD50340,4245056,4243983,4196850,155862,284388,490603,1532299,2178484,487838,776726,763374,2451198,1041641,1220706,1636526,1993786,1670446,666228
UNPD50340.1,516820,590017,902526,4286424,4335043,4288316,2018668,1940437,4118880,4211102,3985851,1552257,3085800,2720272,1833282,1665524,2681720,4231208
2-{[(4-fluorophenyl)carbamoyl]amino}-3-methylbutanoic acid,2242762,2434436,1336890,271833,3695894,940340,0,50234,595462,1240256,855916,462140,71761,773373,940779,955847,946987,1024013
"2-[[(4R)-4-[(5S,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3,7,12-trioxo-1,2,4,5,6,8,9,11,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",104218,62663,126237,233879,163829,131194,129787,216083,113894,119231,181525,86917,49442,79548,90461,72059,80570,87055
"cyclobutyl-[(1S)-2-[(2,5-difluorophenyl)methyl]-1-(hydroxymethyl)-7-methoxy-1'-spiro[3,9-dihydro-1H-pyrido[3,4-b]indole-4,4'-piperidine]yl]methanone",0,0,0,41924,44149,48243,276643,293522,75638,452285,386025,255779,776166,767092,621482,52702,51327,63983
LysoPC(17:0),531526,664654,743468,717431,577926,560033,675308,1248100,797298,1073861,940652,826122,1036657,787812,745359,528477,553703,563962
PubChem_154979598,999419,1282297,1253196,1092165,1116010,999479,1194548,1321159,1031813,1135527,1156875,1245850,1222987,987408,1205430,1188539,1144357,1215868
bis(hydroxymethyl)nitramine.13,7453667,7421421,7358247,7571550,7708850,7646155,8389937,8267670,7905378,9126631,8356491,8021936,9467847,10143351,9530977,8121246,8235436,8318592
"methyl 4-{[13-(1,3-dimethyl-2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)-5,11-dioxo-3,10-dioxatricyclo[7.4.0.0?,?]trideca-1,6,8-trien-4-ylidene]methyl}benzoate",1731435,1610189,2135407,1279723,1696120,1295940,1261544,1780362,1473729,914129,1262091,948004,921168,768148,910729,1630158,1666436,1698115
"methyl 4-{[13-(1,3-dimethyl-2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)-5,11-dioxo-3,10-dioxatricyclo[7.4.0.0?,?]trideca-1,6,8-trien-4-ylidene]methyl}benzoate.1",384339,423702,458775,333937,509138,363413,552623,558391,473449,396355,459690,422743,415928,359861,456543,374866,436366,414735
UNPD57434,67060,0,376665,199591,0,333979,160967,0,442828,422517,7596,725260,772168,5584,786328,265024,256033,305094
bis(hydroxymethyl)nitramine.14,5345604,4598234,4773079,5218091,5360574,5652728,6274618,5753006,5761741,6460832,6123858,6165352,6400885,6886884,7143385,5762317,5871202,5837275
"methyl 3-(3-{3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}butyl)-4-methyl-4,5-dihydro-3H-pyrazole-4-carboxylate",168137,2348896,3827109,897217,1652040,2648306,138812,889310,484810,1833223,2164828,2117408,252847,428594,283900,2918406,2794220,2354784
"methyl 3-(3-{3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}butyl)-4-methyl-4,5-dihydro-3H-pyrazole-4-carboxylate.1",18830,549444,1289993,253160,824878,1054196,0,506825,231635,1174097,911411,1230416,97427,151457,42084,1875206,1843735,1747832
"methyl 3-(3-{3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}butyl)-4-methyl-4,5-dihydro-3H-pyrazole-4-carboxylate.2",0,715627,167922,0,18628,363192,0,119729,50876,1246921,123835,95558,0,51531,0,74562,66052,62678
"methyl 3-(3-{3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}butyl)-4-methyl-4,5-dihydro-3H-pyrazole-4-carboxylate.3",461256,1465702,843360,0,391761,5056236,0,3362608,444020,2871548,502954,469891,33177,1601490,74624,783576,691353,775707
PubChem_87725021,119618,332358,399145,499657,310976,364707,728886,600252,247125,483574,252437,412084,432614,360683,388334,377307,385557,359250
PubChem_129725239,60618,75067,23439,85618,55645,0,402532,455351,104666,203215,329934,370371,190629,243978,134617,95947,124261,69084
PubChem_130383775,4800899,6029165,4613480,4641891,3878766,7324754,11101930,3096352,8986346,4666416,4272480,3564364,4494042,4569920,3338160,4230171,4672572,4114050
PubChem_130383775.1,1027076,1405609,1181311,1182163,1193521,1125752,1067564,1194203,1123642,1293937,1128974,1155435,1243616,1201584,1290284,1189189,1234358,1141160
bis(hydroxymethyl)nitramine.15,5923716,5237705,5070630,5422732,5531777,5454506,5986415,5836516,5913048,6375888,6333971,6320824,6281138,7432874,7060656,6193122,6172526,6070084
UNPD35727,0,0,0,1295661,1197586,1173499,3220771,2504288,1577431,2433652,2450988,2633415,625316,546571,1613294,333444,291709,305856
UNPD195810,6249715,90809064,148068000,35610812,60852400,97038544,8206719,36235648,23917438,81079616,103077968,111513992,10390269,15979747,12114137,110419440,117401544,101074488
UNPD195810.1,228589,1003868,2668489,342839,1125953,4499689,0,1567244,486627,7065945,1010297,1144965,201292,1059692,165388,2316230,2355063,2310866
(2S)-2-amino-N-[3-[4-[3-[[(2S)-2-amino-5-(diaminomethylideneamino)pentanoyl]amino]propyl]piperazin-1-yl]propyl]-5-(diaminomethylideneamino)pentanamide,0,297030,95919,25566,19741,808477,0,172776,21236,1098987,0,36428,0,142666,0,98402,103605,107385
UNPD195810.2,457355,1951752,1528356,126601,808033,8574948,5691,5202370,709433,5261586,993515,1033715,132035,2457591,195353,1609360,1549813,1455850
"7H-imidazo[4,5-e]tetrazine.8",2715622,2477260,2575850,2945585,2807588,2839510,3123702,2939590,2994452,3254682,3200000,3437692,3431706,3473282,3505487,3000696,3054780,3164606
UNPD124081,10711767,10678724,11773276,1772562,1237079,576848,251308,129796,397380,0,81662,15185,0,0,0,3101236,3474834,3428097
Dioxinoacrimarine A,0,0,0,72894,68516,91559,998542,81136,92805,739048,294538,254645,1782983,153432,896494,379408,494067,486631
Dioxinoacrimarine A.1,0,0,0,6824,68516,0,998542,584687,92805,32578,294538,20680,196457,1232516,115349,38521,494067,486631
UNPD178304,0,4131,31752,30638,0,143839,47903,43963,49059,90987,25293,27157,99268,64740,23721,129057,189552,175971
"octadeca-2,9,11-trien-5,7-diyn-1-ol",612940,745189,802287,690742,601469,631406,718096,797361,655804,795818,719954,765976,830564,796579,804492,798496,879559,812948
Ustilaginoidin A,2505969,1882084,2685423,1568230,2032763,1750363,286981,494054,860179,0,0,70415,1290924,1185232,729969,2387528,2718615,2395117
"bicyclo[4.1.0]hepta-1,3,5-triene.9",922131,1020004,977105,740666,819260,791643,870119,904692,681666,952461,927910,870754,865518,885555,800403,770401,742668,843600
"2H-triazolo[4,5-d]triazine",2627396,2351460,2434336,2503660,2513542,2447754,2662602,2565199,2641344,2954820,2857712,3027991,3030360,3202273,3218016,2701270,2709452,2981588
"1,4,7,10,13,16-hexaoxatriacontane-1-sulfonic acid",191388,371412,385710,169335,172351,316080,394719,345045,304934,303583,330450,352286,394946,281502,218357,291223,281213,286469
UNPD123361,186956,484006,489091,172810,154641,132976,215483,94453,189758,153339,127053,156478,168658,159361,71653,128574,146734,123376
Menaquinone MK-5(V-H2),752122,1210130,1016506,132924,484751,997437,206888,596368,513308,413209,87106,808720,481634,456818,0,435572,545262,487619
2-[2-(2-aminoethyl)-6-benzyl-3-[(methylamino)methyl]-3-(undec-4-en-1-yl)cyclohexyl]-3-hydroxybutanoic acid,18981794,75068432,46001720,3996651,21933972,223656384,488335,160779232,29874564,171286624,31903860,28462496,5854792,79470448,6965649,38886956,39204120,38122148
Alpha-Trisaccharide.1,0,0,0,0,0,0,268322,96437,17743,135026,78328,0,605566,495732,200684,75641,71049,85044
"7H-imidazo[4,5-e]tetrazine.9",5971566,5246680,5716938,5935351,6136541,5808223,6411758,5989958,6352520,7085758,7330718,7563014,7499562,8019720,7862328,6698002,6489318,6735019
"12'-hydroxy-11'-methoxy-1-{N-[2-(methylamino)ethyl]carbamimidoyl}-4-[(methylamino)methyl]-2,4-dihydro-1H-spiro[pyridine-3,2'-tetracyclo[10.2.1.1?,??.0?,?]hexadecan]-13'-ene-13'-carboxylic acid",942087,1092899,1079252,973544,1043468,1011571,960286,907045,955280,1071204,914251,945733,979066,999132,1015189,962558,1009630,876005
PubChem_155216807,95388,88778,71246,77769,48357,170054,414110,602506,325832,432492,796156,806232,145562,172665,190987,120596,356338,134883
PubChem_155216807.1,94510,116270,69770,65647,59662,157869,260163,463670,344102,445293,720154,877154,223655,140776,149404,143123,353777,139027
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-decanone]",77631,196857,503081,453619,428560,429016,534502,412884,412806,425953,562556,417907,371828,338321,563136,375814,359670,392627
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-decanone].1",6100810,8916130,23203332,22868058,22697772,21333692,25524286,24617264,22846890,25944326,23742004,22147466,20061678,19539008,21525170,18362710,19877654,20276060
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-decanone].2",3241132,2807140,9425305,7214446,8956810,8373469,11055130,10332825,9112679,11326893,11159207,6035708,8325254,7462686,8415322,9124164,9409480,9831092
bis(hydroxymethyl)nitramine.16,6074098,5617389,5416515,5171563,5790947,5924860,5885420,6551028,6093558,6940638,7162620,6602946,7351578,8087291,7799156,6413789,6271982,6663720
"2-(3,4-dihydroxyphenyl)-10-(1,3-dimethyl-2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)-3,5-dihydroxy-4H,8H,9H,10H-pyrano[2,3-h]chromene-4,8-dione",0,33630,53019,17865,67899,10931,295455,303378,69088,30051,133255,21229,912878,859549,57794,32655,484460,461232
Dicaffeoylquinic acid,0,0,0,966506,797184,683537,2219527,1734625,820715,1496443,1347037,1447146,1676784,1126942,1803437,443970,419836,467525
Dicaffeoylquinic acid.1,0,38212,60999,12097053,10667886,9947408,32411640,23031122,13316985,20717834,21755924,21919796,4935970,4217756,12874733,2747234,2963963,2936587
"3'',4''-Diacetylafzelin.1",0,0,0,627249,418404,485892,3868370,2669886,915339,3239398,3181438,2968456,1516399,1683977,3717917,341525,317071,417542
Dicaffeoylquinic acid.2,1141729,904400,1630677,733000,516390,538568,235264,242146,178096,131445,171110,492633,557648,179827,209434,459608,756228,339007
UNPD104496,417802,656543,705132,646316,672486,379809,754332,1010857,460363,975684,915682,843252,509784,783514,777676,430845,457484,456920
UNPD212192,76303,232928,229616,1071008,733639,618009,910317,1591167,806165,2471775,1903118,1670256,1141971,994489,1589116,520299,587134,281019
"7H-imidazo[4,5-e]tetrazine.10",5449663,4634966,4890860,4886286,5346278,5336546,5462786,5309312,5301207,6177645,5937666,6263014,6343352,6856648,6852146,6170212,5754058,6124004
UNPD104496.1,173193,0,367012,817322,55321,534436,513944,447898,661975,1821090,284878,1198067,755611,215856,1240388,381959,337745,411921
UNPD212192.1,173193,355921,367012,30238,540476,8650,1478193,1299443,661975,154197,1285297,1198067,755611,648043,1240388,34145,337745,411921
Luteone 7-glucoside,592939,599388,694670,462064,588165,477030,439654,569959,527222,352338,377145,374093,270998,270601,296040,586529,689096,599139
(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-amino-5-(diaminomethylideneamino)pentanoyl]amino]hexanoyl]amino]-3-carboxypropanoyl]amino]-3-methylbutanoic acid,760031,794888,746569,653620,708569,646296,666434,655454,675342,597370,589808,654475,633870,565546,586505,724331,703631,623610
Phytolaccinic acid,126565,449494,486979,647480,424663,463140,1137356,807606,316039,705638,401961,528763,555687,529565,729031,480214,720246,625526
Phytolaccinic acid.1,115529,96648,92957,199923,180924,122684,949917,896398,319098,418918,592624,736724,410419,458528,372294,180810,226020,188257
bis(hydroxymethyl)nitramine.17,4951600,4404233,4533529,4839692,4841400,4795726,5095768,5369310,5030900,5787663,5974338,5740432,5907550,6793191,6709776,5488586,5410569,5771842
22-Acetylpriverogenin B.1,569033,685450,652943,417350,554131,379753,373530,354383,317464,238659,221158,206567,319391,290743,218121,960630,974071,840288
"(2,3,4-trichlorophenyl) carbonochloridate",17168854,16705683,20944424,3402228,4553212,2008119,856445,288196,1548706,64370,183620,22094,0,0,0,4825116,5646339,5957528
PubChem_610553,1709832,1468682,1708144,645041,995802,1007616,1411620,1173798,1244078,882281,815079,873494,518880,523492,646438,547908,487949,685268
"2-({7-chloro-4,6-dimethoxy-6'-methyl-2',3-dioxo-3H-spiro[1-benzofuran-2,1'-cyclohexan]-3'-en-4'-yl}amino)-4,5-dimethoxybenzoic acid",414480,341935,392825,332065,346107,445402,389259,482925,362147,452518,441372,487239,642732,1008260,442534,404420,447538,442686
CNP0443678,972831,1516278,1591080,42491,32145,0,0,14143,16300,0,0,0,0,0,0,95310,184131,155733
bis(hydroxymethyl)nitramine.18,6074098,5617389,5416515,5175978,5534268,5503678,5601008,5348934,5695174,6078312,6092932,6602946,6520972,7317916,6854164,6413789,6271982,6663720
benzyl N-(1-{[1-({1-[(carbamoylmethyl)carbamoyl]-3-methylbutyl}carbamoyl)cyclohexyl]carbamoyl}ethyl)carbamate,109938,162991,854656,133796,200787,1434977,113913,97324,1101271,28659,295207,416834,94066,179693,258032,320882,330296,344917
"LysoPC(18:3(6Z,9Z,12Z))",4408046,3835038,3846843,2416183,2687986,2383464,1593690,1682154,1343179,1283658,860186,797554,2192376,1779524,2125656,4276228,4262625,4459684
Holarosine A,0,0,0,1309980,834209,1727560,1623112,1431443,1435491,693691,514450,762062,218766,110954,375977,190664,222877,225995
PubChem_59741871,227025,194226,175016,184214,160695,170311,419220,724260,416393,554771,839803,1107631,468837,383727,282912,242871,277959,189861
PubChem_134268772,409204,804578,718353,0,226255,143571,97646,315189,135334,159971,242298,281832,88318,190096,229436,742949,779384,295723
PubChem_134268772.1,3033897,3363015,3562857,631136,1167270,2633858,4461458,3546162,3119630,4054064,3632917,3234306,2532914,3031744,3105681,2921061,2911884,3053851
PubChem_134268772.2,21160,48846,297381,129789,1056249,467184,97646,315189,272203,339815,497805,184425,173973,353521,146999,458784,779384,835405
UNPD194787,415970,510061,295512,213988,227799,213696,498689,670225,952735,525179,1191140,1243421,253790,199102,210289,207614,359622,262618
"7H-imidazo[4,5-e]tetrazine.11",6214802,5534811,5986954,5703984,5877700,5552462,6189596,6107884,6080777,7243215,7231520,7229350,6978120,8361919,7953330,6551010,6469600,6833235
UNPD19138,61676,141598,174462,148627,137707,194079,518026,448214,324199,287121,490036,610531,228265,288532,165321,171774,222413,190988
"methyl 1,10-dihydroxy-9,9-bis(hydroxymethyl)-2,2,6a,6b,12a-pentamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylate",349014,430923,432292,258311,238172,161729,84907,167409,174069,117906,169653,128250,107520,65163,49168,700949,875384,713563
Ganoderiol C,575812,790941,883505,839000,1251001,1066913,1936855,1064745,905892,941449,1135494,940911,1025685,779976,1788135,862430,801421,917900
Ganoderiol C.1,721979,830950,836146,730166,1224141,855575,1735835,882419,683737,752230,937865,764207,2281357,2028084,2586310,819481,824381,865111
UNPD152605,999212,707193,690971,406588,471071,287982,33929,181190,292850,21262,191268,142881,56761,21262,31252,321831,320212,342677
"7H-imidazo[4,5-e]tetrazine.12",2996202,2333884,2561954,2911908,2619266,2789262,2974082,2904804,3046018,3205565,2900904,3245652,3207002,3057320,3543588,2951205,3063384,3157527
"LysoPC(18:2(9Z,12Z))",76645424,98029888,84898136,88272688,67117856,60853020,86071400,49614496,40173828,52886640,23731998,27291174,55358020,34242996,65978316,42459912,43339468,45317440
"LysoPC(18:2(9Z,12Z)).1",45431316,46866964,43095504,33046990,29168008,27392504,22002388,25808182,21523532,25700382,13013972,13509379,35123828,28576460,27646526,27734562,29310482,28958406
PubChem_141495657,1740496,2956004,2407504,1149094,3776891,1286506,948686,990290,1721867,617605,461461,572100,277059,399143,942104,1543551,2871241,2159777
PubChem_143710447,1100934,1524614,1316100,712508,2150251,883307,634307,740983,1158944,389411,426971,389083,180359,288770,567827,973770,1608271,1479475
PubChem_156094585,358752,593564,410573,144256,600574,180105,89718,33740,212509,41938,24835,30578,29101,40077,64704,298344,536541,456387
PubChem_71517457,1798194,2755665,2269492,1216396,2448990,1303038,421565,394593,835172,216642,246075,229823,200802,421252,431987,1381696,1559962,1586755
PubChem_156094585.1,1061256,1750110,1517787,700849,1466854,720431,280207,252688,483363,109535,84464,81866,225186,205750,257218,963791,1122186,1051982
PubChem_88084176,203844,290120,231062,105175,342979,109561,80203,100500,175378,0,34966,51858,0,0,21773,172274,287478,212256
"7H-imidazo[4,5-e]tetrazine.13",5520030,4728377,4870928,5379996,4948522,4612062,5732288,5497174,5363504,6074952,6309600,5895410,6040598,7330073,7117994,6257980,5661644,6373163
PubChem_71405138,0,0,0,68108,44189,0,216733,231888,162551,66086,194861,141052,0,67649,256410,34466,73908,67914
Eujambolin,0,0,0,24012,28074,0,2271375,291856,61719,954450,388187,342388,789249,1068721,4340638,68128,59644,72843
Purothionin AII.1,855646,1211668,1289920,1159531,1044241,978396,1252005,1282950,1056327,1252811,1347398,1321075,1193855,1133520,1149548,1268420,1333879,1393630
"7H-imidazo[4,5-e]tetrazine.14",5803920,4954872,5333358,5522587,5437718,5419264,5633257,5673230,5882512,6081392,6379477,6785226,6745828,7308057,6953946,6187582,5694138,6344674
6-{1-[(14-methylhexadecanoyl)oxy]ethyl}phenazine-1-carboxylic acid,0,563479,953731,167098,628746,986750,0,88413,47939,942608,676483,1425580,160028,253236,33049,919700,1007297,1009457
Cyclopassifloic acid B.2,331029,312962,225709,305081,310711,406612,513540,727864,559679,590562,871517,821686,274460,260925,297422,278986,280261,295705
Cyclopassifloic acid B.3,124688,61525,89501,85765,42860,168762,586214,1517578,608994,1359365,2964015,2954866,320337,215996,219317,153711,230638,160122
Cyclopassifloic acid B.4,345954,155761,155138,228541,171144,204993,508237,796442,574369,815963,1213261,1073846,369597,296266,365900,102308,166131,178369
2-(3-methoxyphenyl)-2-[3-[2-(3-methoxyphenyl)ethyl-methylamino]propyl]tetradecanenitrile,140382,697877,572773,0,254054,946203,0,401262,90203,1897088,199035,216214,0,240933,0,457988,529504,574613
"bicyclo[4.1.0]hepta-1,3,5-triene.10",519528,787420,531009,570118,713450,530878,991125,988220,549417,552882,889864,600377,672288,1450314,582873,500662,613696,551411
"2-{[9a,11a-dimethyl-1-(6-methylheptan-2-yl)-hexadecahydro-1H-cyclopenta[a]phenanthren-7-yl]oxy}oxane-3,4,5-triol",375688,687404,393754,230447,431714,232671,241892,182147,200098,50588,47145,77495,25908,0,37658,506707,569631,444126
UNPD177175,893362,200099,251059,19440,57275,98053,131742,182761,176328,54728,192429,249372,0,39428,0,297634,252917,325185
CNP0447782,760649,886080,754551,446333,591682,401885,463148,346205,338226,312421,210117,158588,228003,271588,335929,1156701,1293558,1122820
Agn-Pc-0Bkwxc,17312426,19098810,23085188,11959409,16626393,19134014,9855055,10538314,14950120,6918036,8852622,8528976,7778022,6774278,7161521,9910322,9412308,8930895
"2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-N-[(furan-2-yl)methyl]acetamide",0,0,0,1118415,885608,818352,2017394,1821503,1357394,1150625,1311128,1117573,678411,806705,1061873,333612,407450,373074
